,PUBMEDID,TITLE,AUTHORS,PUBICATION,PUBDATE,PUBYEAR
1479,15876692,CAG repeat polymorphism in the androgen receptor (AR) gene of SBMA patients and a control group.,"Sułek A, Hoffman-Zacharska D, Krysa W, Szirkowiec W, Fidziańska E, Zaremba J.",J Appl Genet. 2005;46(2):237-9.,5/7/2005,2005
1482,15883271,Brachial amyotrophic diplegia in a patient with human immunodeficiency virus infection: widening the spectrum of motor neuron diseases occurring with the human immunodeficiency virus.,"Berger JR, Espinosa PS, Kissel J.",Arch Neurol. 2005 May;62(5):817-23. Review.,5/11/2005,2005
1485,15897156,Progress in Spinobulbar muscular atrophy research: insights into neuronal dysfunction caused by the polyglutamine-expanded androgen receptor.,"Beitel LK, Scanlon T, Gottlieb B, Trifiro MA.",Neurotox Res. 2005;7(3):219-30. Review.,5/18/2005,2005
1488,15924079,"[A clinical, neurophysiological and molecular study of 12 patients from 4 families with spinal and bulbar muscular atrophy].","Echaniz-Laguna A, Rousso E, Anheim M, Fleury M, Cossée M, Tranchant C.",Rev Neurol (Paris). 2005 Apr;161(4):437-44. French.,6/1/2005,2005
1491,15932358,Phenotypic variability in Kennedy's disease: implication of the early diagnostic features.,"Lee JH, Shin JH, Park KP, Kim IJ, Kim CM, Lim JG, Choi YC, Kim DS.",Acta Neurol Scand. 2005 Jul;112(1):57-63.,6/4/2005,2005
1494,15978183,Age-dependent differences in androgen binding affinity in a family with spinal and bulbar muscular atrophy.,"MacLean HE, Gonzales M, Greenland KJ, Warne GL, Zajac JD.",Neurol Res. 2005 Jul;27(5):548-51.,6/28/2005,2005
1497,15997639,[Kennedy's disease--case report].,"Tomczykiewicz K, Wrodycka B, Sułek A.",Pol Merkur Lekarski. 2005 Mar;18(105):307-9. Polish.,7/7/2005,2005
1500,16079302,Human expanded polyglutamine androgen receptor mutants in neurodegeneration as a novel ligand target.,"Furutani T, Takeyama K, Tanabe M, Koutoku H, Ito S, Taniguchi N, Suzuki E, Kudoh M, Shibasaki M, Shikama H, Kato S.",J Pharmacol Exp Ther. 2005 Nov;315(2):545-52. Epub 2005 Aug 3. Retraction in: J Pharmacol Exp Ther. 2014 Mar;348(3):493.,8/5/2005,2005
1503,16088611,Overview of neuromuscular disorders affecting respiratory function.,Gilchrist JM.,Semin Respir Crit Care Med. 2002 Jun;23(3):191-200.,8/10/2005,2005
1506,16091584,Study of androgen receptor functions by genetic models.,"Matsumoto T, Takeyama K, Sato T, Kato S.",J Biochem. 2005 Aug;138(2):105-10. Review.,8/11/2005,2005
1509,16100985,Kennedy's disease phenotype with positive genetic study for Kugelberg-Welander's disease: case report.,"Trentin AP, Scola RH, Teive HA, Raskin S, Germiniani FM, Werneck LC.",Arq Neuropsiquiatr. 2005 Jun;63(2A):330-1.,8/17/2005,2005
1512,16138977,"[""Jaw drop"" as an atypical manifestation of Kennedy's disease].","Larsen K, Smith TA.",Ugeskr Laeger. 2005 Aug 29;167(35):3310-1. Danish.,9/6/2005,2005
1515,16155577,"17-AAG, an Hsp90 inhibitor, ameliorates polyglutamine-mediated motor neuron degeneration.","Waza M, Adachi H, Katsuno M, Minamiyama M, Sang C, Tanaka F, Inukai A, Doyu M, Sobue G.",Nat Med. 2005 Oct;11(10):1088-95. Epub 2005 Sep 11.,9/13/2005,2005
1518,16225946,"Underediting of GluR2 mRNA, a neuronal death inducing molecular change in sporadic ALS, does not occur in motor neurons in ALS1 or SBMA.","Kawahara Y, Sun H, Ito K, Hideyama T, Aoki M, Sobue G, Tsuji S, Kwak S.",Neurosci Res. 2006 Jan;54(1):11-4. Epub 2005 Oct 12.,10/18/2005,2005
1522,16260738,Pharmacological induction of heat-shock proteins alleviates polyglutamine-mediated motor neuron disease.,"Katsuno M, Sang C, Adachi H, Minamiyama M, Waza M, Tanaka F, Doyu M, Sobue G.",Proc Natl Acad Sci U S A. 2005 Nov 15;102(46):16801-6. Epub 2005 Oct 31.,11/2/2005,2005
1525,16319030,Dementia of frontal lobe type in Kennedy's disease.,"Kessler H, Prudlo J, Kraft S, Supprian T.",Amyotroph Lateral Scler Other Motor Neuron Disord. 2005 Dec;6(4):250-3.,12/2/2005,2005
1528,16358333,Mutant androgen receptor accumulation in spinal and bulbar muscular atrophy scrotal skin: a pathogenic marker.,"Banno H, Adachi H, Katsuno M, Suzuki K, Atsuta N, Watanabe H, Tanaka F, Doyu M, Sobue G.",Ann Neurol. 2006 Mar;59(3):520-6.,12/17/2005,2005
1531,16388114,Reflections on the diseases linked to mutations of the androgen receptor.,"Poletti A, Negri-Cesi P, Martini L.",Endocrine. 2005 Dec;28(3):243-62. Review.,1/3/2006,2006
1535,16389310,Animal models of Kennedy disease.,Merry DE.,NeuroRx. 2005 Jul;2(3):471-9. Review.,1/4/2006,2006
1539,16400023,Abnormalities of germ cell maturation and sertoli cell cytoskeleton in androgen receptor 113 CAG knock-in mice reveal toxic effects of the mutant protein.,"Yu Z, Dadgar N, Albertelli M, Scheller A, Albin RL, Robins DM, Lieberman AP.",Am J Pathol. 2006 Jan;168(1):195-204.,1/10/2006,2006
1542,16407992,Small-molecule ligand induces nucleotide flipping in (CAG)n trinucleotide repeats.,"Nakatani K, Hagihara S, Goto Y, Kobori A, Hagihara M, Hayashi G, Kyo M, Nomura M, Mishima M, Kojima C.",Nat Chem Biol. 2005 Jun;1(1):39-43. Epub 2005 May 24.,1/13/2006,2006
1545,16467955,Comparison of androgen receptor CAG and GGN repeat length polymorphism in humans and apes.,"Hong KW, Hibino E, Takenaka O, Hayasaka I, Murayama Y, Ito S, Inoue-Murayama M.",Primates. 2006 Jul;47(3):248-54. Epub 2006 Feb 9.,2/10/2006,2006
1548,16503123,Genetics of familial and sporadic amyotrophic lateral sclerosis.,"Gros-Louis F, Gaspar C, Rouleau GA.",Biochim Biophys Acta. 2006 Nov-Dec;1762(11-12):956-72. Epub 2006 Feb 10. Review.,3/1/2006,2006
1551,16506152,Cortical versus spinal dysfunction in amyotrophic lateral sclerosis.,"Attarian S, Vedel JP, Pouget J, Schmied A.",Muscle Nerve. 2006 May;33(5):677-90.,3/1/2006,2006
1554,16513111,"Pathogenesis, animal models and therapeutics in spinal and bulbar muscular atrophy (SBMA).","Katsuno M, Adachi H, Waza M, Banno H, Suzuki K, Tanaka F, Doyu M, Sobue G.",Exp Neurol. 2006 Jul;200(1):8-18. Epub 2006 Mar 2. Review.,3/4/2006,2006
1557,16601069,Replacing the mouse androgen receptor with human alleles demonstrates glutamine tract length-dependent effects on physiology and tumorigenesis in mice.,"Albertelli MA, Scheller A, Brogley M, Robins DM.",Mol Endocrinol. 2006 Jun;20(6):1248-60. Epub 2006 Apr 6.,4/8/2006,2006
1560,16621916,Natural history of spinal and bulbar muscular atrophy (SBMA): a study of 223 Japanese patients.,"Atsuta N, Watanabe H, Ito M, Banno H, Suzuki K, Katsuno M, Tanaka F, Tamakoshi A, Sobue G.",Brain. 2006 Jun;129(Pt 6):1446-55. Epub 2006 Apr 18.,4/20/2006,2006
1563,16644868,Pharmacologic and genetic inhibition of hsp90-dependent trafficking reduces aggregation and promotes degradation of the expanded glutamine androgen receptor without stress protein induction.,"Thomas M, Harrell JM, Morishima Y, Peng HM, Pratt WB, Lieberman AP.",Hum Mol Genet. 2006 Jun 1;15(11):1876-83. Epub 2006 Apr 27.,4/29/2006,2006
1566,16642929,"[The most probable clinical diagnosis to the applicants for the intractable disease registration of Parkinson's disease, spinocerebellar degeneration and amyotrophic lateral sclerosis].","Narita Y, Taniguchi A, Kuzuhara S.",Rinsho Shinkeigaku. 2006 Mar;46(3):193-8. Japanese.,4/29/2006,2006
1569,16691593,Covariation of corticospinal efficiency and silent period in motoneuron diseases.,"Attarian S, Pouget J, Schmied A.",Muscle Nerve. 2006 Aug;34(2):178-88.,5/13/2006,2006
1572,16720620,Biologically active molecules that reduce polyglutamine aggregation and toxicity.,"Desai UA, Pallos J, Ma AA, Stockwell BR, Thompson LM, Marsh JL, Diamond MI.",Hum Mol Genet. 2006 Jul 1;15(13):2114-24. Epub 2006 May 23.,5/25/2006,2006
1575,16741751,Modulation of Hsp90 function in neurodegenerative disorders: a molecular-targeted therapy against disease-causing protein.,"Waza M, Adachi H, Katsuno M, Minamiyama M, Tanaka F, Doyu M, Sobue G.",J Mol Med (Berl). 2006 Aug;84(8):635-46. Epub 2006 Jun 2. Review.,6/3/2006,2006
1578,16751763,JNK mediates pathogenic effects of polyglutamine-expanded androgen receptor on fast axonal transport.,"Morfini G, Pigino G, Szebenyi G, You Y, Pollema S, Brady ST.",Nat Neurosci. 2006 Jul;9(7):907-16. Epub 2006 Jun 4.,6/6/2006,2006
1581,16753970,A phenotypic-genetic study of a group of Polish patients with spinal and bulbar muscular atrophy.,"Tomik B, Partyka D, Sułek A, Kurek-Gryz EA, Banach M, Ostrowska M, Zaremba J, Figlewicz DA, Szczudlik A.",Amyotroph Lateral Scler. 2006 Jun;7(2):72-9.,6/7/2006,2006
1584,16772330,Loss of endogenous androgen receptor protein accelerates motor neuron degeneration and accentuates androgen insensitivity in a mouse model of X-linked spinal and bulbar muscular atrophy.,"Thomas PS Jr, Fraley GS, Damian V, Woodke LB, Zapata F, Sopher BL, Plymate SR, La Spada AR.","Hum Mol Genet. 2006 Jul 15;15(14):2225-38. Epub 2006 Jun 13. Erratum in: Hum Mol Genet. 2006 Oct 1;15(19):2972. Damien, Vincent [corrected to Damian, Vincent].",6/15/2006,2006
1587,16781019,Aggregation and proteasome: the case of elongated polyglutamine aggregation in spinal and bulbar muscular atrophy.,"Rusmini P, Sau D, Crippa V, Palazzolo I, Simonini F, Onesto E, Martini L, Poletti A.",Neurobiol Aging. 2007 Jul;28(7):1099-111. Epub 2006 Jun 15.,6/20/2006,2006
1590,16782802,Huntingtin-associated protein 1 (HAP1) interacts with androgen receptor (AR) and suppresses SBMA-mutant-AR-induced apoptosis.,"Takeshita Y, Fujinaga R, Zhao C, Yanai A, Shinoda K.",Hum Mol Genet. 2006 Aug 1;15(15):2298-312. Epub 2006 Jun 16.,6/20/2006,2006
1593,16793767,Archaeal proteasomes effectively degrade aggregation-prone proteins and reduce cellular toxicities in mammalian cells.,"Yamada S, Niwa J, Ishigaki S, Takahashi M, Ito T, Sone J, Doyu M, Sobue G.",J Biol Chem. 2006 Aug 18;281(33):23842-51. Epub 2006 Jun 22.,6/24/2006,2006
1596,16892542,[Clinical consequences of androgen receptor malfunction].,"Klocker H, Eder IE, Culig Z, Bartsch G.",Verh Dtsch Ges Pathol. 2004;88:122-9. Review. German.,8/9/2006,2006
1599,16980958,Cytosolic chaperonin prevents polyglutamine toxicity with altering the aggregation state.,"Kitamura A, Kubota H, Pack CG, Matsumoto G, Hirayama S, Takahashi Y, Kimura H, Kinjo M, Morimoto RI, Nagata K.",Nat Cell Biol. 2006 Oct;8(10):1163-70. Epub 2006 Sep 17.,9/19/2006,2006
1603,16981011,Androgen-dependent pathology demonstrates myopathic contribution to the Kennedy disease phenotype in a mouse knock-in model.,"Yu Z, Dadgar N, Albertelli M, Gruis K, Jordan C, Robins DM, Lieberman AP.",J Clin Invest. 2006 Oct;116(10):2663-72. Epub 2006 Sep 14.,9/19/2006,2006
1606,17001815,Canadian Association of Neurosciences Review: polyglutamine expansion neurodegenerative diseases.,"Truant R, Raymond LA, Xia J, Pinchev D, Burtnik A, Atwal RS.",Can J Neurol Sci. 2006 Aug;33(3):278-91. Review.,9/28/2006,2006
1609,17055185,The androgen receptor gene: a major modifier of speed of neuronal transmission and intelligence?,Manning JT.,Med Hypotheses. 2007;68(4):802-4. Epub 2006 Oct 19.,10/24/2006,2006
1612,17056629,Administration of testosterone results in reversible deterioration in Kennedy's disease.,"Kinirons P, Rouleau GA.",J Neurol Neurosurg Psychiatry. 2008 Jan;79(1):106-7. Epub 2006 Oct 20. No abstract available.,10/24/2006,2006
1615,17073759,Structural dynamics of the human androgen receptor: implications for prostate cancer and neurodegenerative disease.,"Duff J, Davies P, Watt K, McEwan IJ.",Biochem Soc Trans. 2006 Dec;34(Pt 6):1098-102.,11/1/2006,2006
1618,17121819,Soluble androgen receptor oligomers underlie pathology in a mouse model of spinobulbar muscular atrophy.,"Li M, Chevalier-Larsen ES, Merry DE, Diamond MI.",J Biol Chem. 2007 Feb 2;282(5):3157-64. Epub 2006 Nov 22.,11/24/2006,2006
1621,17122035,Reversible disruption of dynactin 1-mediated retrograde axonal transport in polyglutamine-induced motor neuron degeneration.,"Katsuno M, Adachi H, Minamiyama M, Waza M, Tokui K, Banno H, Suzuki K, Onoda Y, Tanaka F, Doyu M, Sobue G.",J Neurosci. 2006 Nov 22;26(47):12106-17.,11/24/2006,2006
1624,17128093,[Differential diagnosis and atypical subsets of amyotrophic lateral sclerosis].,"Pradat PF, Bruneteau G.",Rev Neurol (Paris). 2006 Jun;162 Spec No 2:4S81-4S90. French.,11/28/2006,2006
1627,17128094,[What is the role of the genetic survey in amyotrophic lateral sclerosis?].,Camu W.,Rev Neurol (Paris). 2006 Jun;162 Spec No 2:4S91-4S95. French.,11/28/2006,2006
1630,17128090,[What is the role of other complementary examination in amyotrophic lateral sclerosis?].,Tranchant C.,Rev Neurol (Paris). 2006 Jun;162 Spec No 2:4S50-4S56. French.,11/28/2006,2006
1633,17128092,[Amyotrophic lateral sclerosis: differential diagnosis and frontier forms].,Magistris MR.,Rev Neurol (Paris). 2006 Jun;162 Spec No 2:4S67-4S80. French.,11/28/2006,2006
1636,17128087,[Clinical characteristics of amyotrophic lateral sclerosis subsets].,"Pradat PF, Bruneteau G.",Rev Neurol (Paris). 2006 Jun;162 Spec No 2:4S29-4S33. French.,11/28/2006,2006
1639,17137837,Upper motor neuron involvement in X-linked recessive bulbospinal muscular atrophy.,"Pachatz C, Terracciano C, Desiato MT, Orlacchio A, Mori F, Rocchi C, Bernardi G, Massa R.",Clin Neurophysiol. 2007 Feb;118(2):262-8. Epub 2006 Nov 29.,12/2/2006,2006
1642,17185503,Alleviating neurodegeneration by an anticancer agent: an Hsp90 inhibitor (17-AAG).,"Waza M, Adachi H, Katsuno M, Minamiyama M, Tanaka F, Sobue G.",Ann N Y Acad Sci. 2006 Nov;1086:21-34. Review.,12/23/2006,2006
1645,17276991,Ubiquitin-interacting motifs inhibit aggregation of polyQ-expanded huntingtin.,"Miller SL, Scappini EL, O'Bryan J.",J Biol Chem. 2007 Mar 30;282(13):10096-103. Epub 2007 Feb 2.,2/6/2007,2007
1648,17299742,Frequent atrophic groups with mixed-type myofibers is distinctive to motor neuron syndromes.,"Baloh RH, Rakowicz W, Gardner R, Pestronk A.",Muscle Nerve. 2007 Jul;36(1):107-10.,2/15/2007,2007
1652,17332050,Widespread white matter changes in Kennedy disease: a voxel based morphometry study.,"Kassubek J, Juengling FD, Sperfeld AD.",J Neurol Neurosurg Psychiatry. 2007 Nov;78(11):1209-12. Epub 2007 Mar 1.,3/3/2007,2007
1655,17334372,ASC-J9 ameliorates spinal and bulbar muscular atrophy phenotype via degradation of androgen receptor.,"Yang Z, Chang YJ, Yu IC, Yeh S, Wu CC, Miyamoto H, Merry DE, Sobue G, Chen LM, Chang SS, Chang C.",Nat Med. 2007 Mar;13(3):348-53. Epub 2007 Mar 4.,3/6/2007,2007
1658,17359355,Pathogenesis and molecular targeted therapy of spinal and bulbar muscular atrophy.,"Adachi H, Waza M, Katsuno M, Tanaka F, Doyu M, Sobue G.",Neuropathol Appl Neurobiol. 2007 Apr;33(2):135-51. Review.,3/16/2007,2007
1661,17364438,Elevated creatine kinase and transaminases in asymptomatic SBMA.,"Sorenson EJ, Klein CJ.",Amyotroph Lateral Scler. 2007 Feb;8(1):62-4.,3/17/2007,2007
1664,17426712,Hsp40 molecules that target to the ubiquitin-proteasome system decrease inclusion formation in models of polyglutamine disease.,"Howarth JL, Kelly S, Keasey MP, Glover CP, Lee YB, Mitrophanous K, Chapple JP, Gallo JM, Cheetham ME, Uney JB.",Mol Ther. 2007 Jun;15(6):1100-5. Epub 2007 Apr 10.,4/12/2007,2007
1667,17447526,[Therapeutic strategies for the polyglutamine diseases].,"Nagai Y, Popiel HA, Fujikake N, Toda T.",Brain Nerve. 2007 Apr;59(4):393-404. Review. Japanese.,4/24/2007,2007
1670,17447523,[Paradigm shift in clinical trials for neurodegenerative diseases].,"Katsuno M, Banno H, Suzuki K, Takeuchi Y, Sobue G.",Brain Nerve. 2007 Apr;59(4):367-74. Review. Japanese.,4/24/2007,2007
1673,17470458,Akt blocks ligand binding and protects against expanded polyglutamine androgen receptor toxicity.,"Palazzolo I, Burnett BG, Young JE, Brenne PL, La Spada AR, Fischbeck KH, Howell BW, Pennuto M.",Hum Mol Genet. 2007 Jul 1;16(13):1593-603. Epub 2007 Apr 30.,5/2/2007,2007
1676,17484138,Small molecule modulators in epigenetics: implications in gene expression and therapeutics.,"Swaminathan V, Reddy BA, Ruthrotha Selvi B, Sukanya MS, Kundu TK.",Subcell Biochem. 2007;41:397-428. Review.,5/9/2007,2007
1679,17494697,CHIP overexpression reduces mutant androgen receptor protein and ameliorates phenotypes of the spinal and bulbar muscular atrophy transgenic mouse model.,"Adachi H, Waza M, Tokui K, Katsuno M, Minamiyama M, Tanaka F, Doyu M, Sobue G.",J Neurosci. 2007 May 9;27(19):5115-26.,5/15/2007,2007
1682,17568747,HDAC6 rescues neurodegeneration and provides an essential link between autophagy and the UPS.,"Pandey UB, Nie Z, Batlevi Y, McCray BA, Ritson GP, Nedelsky NB, Schwartz SL, DiProspero NA, Knight MA, Schuldiner O, Padmanabhan R, Hild M, Berry DL, Garza D, Hubbert CC, Yao TP, Baehrecke EH, Taylor JP.",Nature. 2007 Jun 14;447(7146):859-63.,6/15/2007,2007
1685,17596176,Men with Kennedy disease have a reduced risk of androgenetic alopecia.,"Sinclair R, Greenland KJ, Egmond Sv, Hoedemaker C, Chapman A, Zajac JD.",Br J Dermatol. 2007 Aug;157(2):290-4. Epub 2007 Jun 26.,6/29/2007,2007
1688,17611709,"Nationwide survey on predictive genetic testing for late-onset, incurable neurological diseases in Japan.","Yoshida K, Wada T, Sakurai A, Wakui K, Ikeda S, Fukushima Y.",J Hum Genet. 2007;52(8):675-9. Epub 2007 Jul 5.,7/6/2007,2007
1691,17691102,Small-fiber involvement in spinobulbar muscular atrophy (Kennedy's disease).,"Manganelli F, Iodice V, Provitera V, Pisciotta C, Nolano M, Perretti A, Santoro L.",Muscle Nerve. 2007 Dec;36(6):816-20.,8/11/2007,2007
1694,17720200,Depletion of mitochondrial DNA in leukocytes of patients with poly-Q diseases.,"Liu CS, Cheng WL, Kuo SJ, Li JY, Soong BW, Wei YH.",J Neurol Sci. 2008 Jan 15;264(1-2):18-21. Epub 2007 Aug 27.,8/28/2007,2007
1697,17786457,CAG repeat disorder models and human neuropathology: similarities and differences.,"Yamada M, Sato T, Tsuji S, Takahashi H.",Acta Neuropathol. 2008 Jan;115(1):71-86. Epub 2007 Sep 5. Review.,9/6/2007,2007
1700,17803850,[Clinical manifestations and molecular genetics of spinal bulbar muscular atrophy: report of 5 cases].,"Li XH, Zhuang JJ, Xie QY, Li AP, Liang XL, Feng YQ, Fang YY, Li JR, Liang YX.",Zhonghua Yi Xue Za Zhi. 2007 Jun 19;87(23):1611-5. Chinese.,9/7/2007,2007
1703,17803031,Multimodal evoked potentials of Kennedy's disease.,"Lai TH, Soong BW, Chen JT, Chen YY, Lai KL, Wu ZA, Liao KK.",Can J Neurol Sci. 2007 Aug;34(3):328-32.,9/7/2007,2007
1706,17852020,Pure bulbar motor neuron involvement linked to an abnormal CAG repeat expansion in the androgen receptor gene.,"Praline J, Guennoc AM, Malinge MC, de Toffol B, Corcia P.",Amyotroph Lateral Scler. 2008 Feb;9(1):40-2.,9/14/2007,2007
1709,17854832,Spinal and bulbar muscular atrophy: skeletal muscle pathology in male patients and heterozygous females.,"Sorarù G, D'Ascenzo C, Polo A, Palmieri A, Baggio L, Vergani L, Gellera C, Moretto G, Pegoraro E, Angelini C.",J Neurol Sci. 2008 Jan 15;264(1-2):100-5. Epub 2007 Sep 12.,9/15/2007,2007
1713,17868456,HAP1 can sequester a subset of TBP in cytoplasmic inclusions via specific interaction with the conserved TBP(CORE).,"Prigge JR, Schmidt EE.",BMC Mol Biol. 2007 Sep 14;8:76.,9/18/2007,2007
1716,17881894,Androgen receptor modulation: lessons learned from beyond the prostate.,"Sharifi N, Figg WD.",Cancer Biol Ther. 2007 Sep;6(9):1358-9. Epub 2007 Aug 3. Review.,9/21/2007,2007
1719,17897390,Cell therapy and stem cells in animal models of motor neuron disorders.,"Hedlund E, Hefferan MP, Marsala M, Isacson O.",Eur J Neurosci. 2007 Oct;26(7):1721-37. Review.,9/28/2007,2007
1722,17908088,Low yield in screening patients with sporadic motor neuron disease for Kennedy disease.,"Saunderson RB, Yu B, Trent RJ, Pamphlett R.",Intern Med J. 2007 Nov;37(11):772-4.,10/3/2007,2007
1725,17911155,Polyglutamine diseases: emerging concepts in pathogenesis and therapy.,"Shao J, Diamond MI.",Hum Mol Genet. 2007 Oct 15;16 Spec No. 2:R115-23. Review.,10/4/2007,2007
1728,17945479,The role of the polyglutamine tract in androgen receptor.,"Palazzolo I, Gliozzi A, Rusmini P, Sau D, Crippa V, Simonini F, Onesto E, Bolzoni E, Poletti A.",J Steroid Biochem Mol Biol. 2008 Feb;108(3-5):245-53. Epub 2007 Sep 11. Review.,10/20/2007,2007
1731,17969352,[ALS and excitatory amino acid].,"Aizawa H, Kwak S.",Brain Nerve. 2007 Oct;59(10):1117-27. Review. Japanese.,11/1/2007,2007
1734,17984450,Pathophysiologic insights into motor axonal function in Kennedy disease.,"Vucic S, Kiernan MC.",Neurology. 2007 Nov 6;69(19):1828-35.,11/7/2007,2007
1738,17984063,Overexpression of wild-type androgen receptor in muscle recapitulates polyglutamine disease.,"Monks DA, Johansen JA, Mo K, Rao P, Eagleson B, Yu Z, Lieberman AP, Breedlove SM, Jordan CL.",Proc Natl Acad Sci U S A. 2007 Nov 13;104(46):18259-64. Epub 2007 Nov 2.,11/7/2007,2007
1741,17997416,A comparison of the lengths of androgen receptor triplet repeats in brain and blood in motor neuron diseases.,"Saunderson RB, Yu B, Trent RJ, Pamphlett R.",J Neurol Sci. 2008 Apr 15;267(1-2):125-8. Epub 2007 Nov 13.,11/13/2007,2007
1744,18056738,CAG repeat size correlates to electrophysiological motor and sensory phenotypes in SBMA.,"Suzuki K, Katsuno M, Banno H, Takeuchi Y, Atsuta N, Ito M, Watanabe H, Yamashita F, Hori N, Nakamura T, Hirayama M, Tanaka F, Sobue G.",Brain. 2008 Jan;131(Pt 1):229-39. Epub 2007 Dec 4.,12/7/2007,2007
1747,18090681,Hyperestrogenemia simulating kennedy disease.,Luo JJ.,J Clin Neuromuscul Dis. 2007 Dec;9(2):291-6.,12/20/2007,2007
1750,18210842,[Animal models of neurodegenerative diseases on the road to disease-modifying therapy: spinal and bulbar muscular atrophy].,Sobue G.,Rinsho Shinkeigaku. 2007 Nov;47(11):941-3. Japanese.,1/24/2008,2008
1753,18230051,Histone deacetylase inhibitors: possible implications for neurodegenerative disorders.,"Hahnen E, Hauke J, Tränkle C, Eyüpoglu IY, Wirth B, Blümcke I.",Expert Opin Investig Drugs. 2008 Feb;17(2):169-84. doi: 10.1517/13543784.17.2.169. Review.,1/31/2008,2008
1756,18308629,Kennedy's disease: a lower motor neuron model to identify upper motor neuron physiology in ALS.,Eisen A.,Clin Neurophysiol. 2008 May;119(5):971-2. doi: 10.1016/j.clinph.2008.01.012. Epub 2008 Mar 4. No abstract available.,3/1/2008,2008
1759,18313980,Cortical excitability testing distinguishes Kennedy's disease from amyotrophic lateral sclerosis.,"Vucic S, Kiernan MC.",Clin Neurophysiol. 2008 May;119(5):1088-96. doi: 10.1016/j.clinph.2008.01.011. Epub 2008 Feb 29.,3/4/2008,2008
1763,18321505,Androgen receptor and Kennedy disease/spinal bulbar muscular atrophy.,"Monks DA, Rao P, Mo K, Johansen JA, Lewis G, Kemp MQ.",Horm Behav. 2008 May;53(5):729-40. doi: 10.1016/j.yhbeh.2007.12.009. Epub 2008 Jan 5. Review.,3/7/2008,2008
1766,18335469,Sporadic bulbospinal muscle atrophy with facial-onset sensory neuropathy.,"Isoardo G, Troni W.",Muscle Nerve. 2008 May;37(5):659-62. doi: 10.1002/mus.20991.,3/13/2008,2008
1769,18446311,Highly skewed inactivation of the wild-type X-chromosome in asymptomatic female carriers of spinal and bulbar muscular atrophy (Kennedy's disease).,"Paradas C, Solano F, Carrillo F, Fernández C, Bautista J, Pintado E, Lucas M.",J Neurol. 2008 Jun;255(6):853-7. doi: 10.1007/s00415-008-0766-1. Epub 2008 May 2.,5/1/2008,2008
1772,18473821,Molecular genetics and biomarkers of polyglutamine diseases.,"Katsuno M, Banno H, Suzuki K, Takeuchi Y, Kawashima M, Tanaka F, Adachi H, Sobue G.",Curr Mol Med. 2008 May;8(3):221-34. Review.,5/14/2008,2008
1775,18490617,Natural history of spinal-bulbar muscular atrophy.,"Chahin N, Klein C, Mandrekar J, Sorenson E.",Neurology. 2008 May 20;70(21):1967-71. doi: 10.1212/01.wnl.0000312510.49768.eb.,5/21/2008,2008
1778,18496679,Enhancement of single motor unit inhibitory responses to transcranial magnetic stimulation in amyotrophic lateral sclerosis.,"Schmied A, Attarian S.",Exp Brain Res. 2008 Aug;189(2):229-42. doi: 10.1007/s00221-008-1420-y. Epub 2008 May 22.,5/23/2008,2008
1781,18537606,Histone deacetylase inhibitors: therapeutic agents and research tools for deciphering motor neuron diseases.,"Echaniz-Laguna A, Bousiges O, Loeffler JP, Boutillier AL.",Curr Med Chem. 2008;15(13):1263-73. Review.,6/10/2008,2008
1784,18548558,Cortical compensation associated with dysphagia caused by selective degeneration of bulbar motor neurons.,"Dziewas R, Teismann IK, Suntrup S, Schiffbauer H, Steinstraeter O, Warnecke T, Ringelstein EB, Pantev C.",Hum Brain Mapp. 2009 Apr;30(4):1352-60. doi: 10.1002/hbm.20603.,6/13/2008,2008
1788,18560135,The androgen receptor's CAG/glutamine tract in mouse models of neurological disease and cancer.,"Lieberman AP, Robins DM.",J Alzheimers Dis. 2008 Jun;14(2):247-55.,6/19/2008,2008
1792,18586675,A common motif targets huntingtin and the androgen receptor to the proteasome.,"Chandra S, Shao J, Li JX, Li M, Longo FM, Diamond MI.",J Biol Chem. 2008 Aug 29;283(35):23950-5. doi: 10.1074/jbc.M800467200. Epub 2008 Jun 27.,7/1/2008,2008
1795,18592136,Rare association of antisynthetase syndrome and Kennedy's disease.,"Szabo N, Lukacs S, Gunasekera W, Danko K.",Clin Rheumatol. 2008 Oct;27(10):1329-31. doi: 10.1007/s10067-008-0946-5. Epub 2008 Jul 1.,7/2/2008,2008
1798,18617596,The contribution of different androgen receptor domains to receptor dimerization and signaling.,"Centenera MM, Harris JM, Tilley WD, Butler LM.",Mol Endocrinol. 2008 Nov;22(11):2373-82. doi: 10.1210/me.2008-0017. Epub 2008 Jul 10. Review.,7/12/2008,2008
1801,18625411,Androgen receptor function in motor neuron survival and degeneration.,"Cary GA, La Spada AR.","Phys Med Rehabil Clin N Am. 2008 Aug;19(3):479-94, viii. doi: 10.1016/j.pmr.2008.03.002. Review.",7/16/2008,2008
1804,18642379,Walking capacity evaluated by the 6-minute walk test in spinal and bulbar muscular atrophy.,"Takeuchi Y, Katsuno M, Banno H, Suzuki K, Kawashima M, Atsuta N, Ito M, Watanabe H, Tanaka F, Sobue G.",Muscle Nerve. 2008 Aug;38(2):964-71. doi: 10.1002/mus.21077.,7/22/2008,2008
